LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
14.91662,78.617621,0.36,0.009677885,0.16,1.81,0.259803619
14.02485,78.50271,1,0.005344504,1,1.21,0.271370438
14.85227,78.387915,4.43,0.005705619,2.51,4.76,0.260119215
14.52212,78.63696,1.27,0.006066734,0.43,1.3,0.246230569
14.64722,78.775095,2.3,0.013650152,1.47,1.9,0.250328465
13.95871,79.35315,8.25,0.037122635,5.56,7.65,0.276883529
14.79255,79.009114,3.7,0.010400116,3.6,2.91,0.256100286
14.95072,78.95489,10.7,0.072295248,5.77,11.14,0.263225045
14.73152,78.14634,2.9,0.016900188,1.38,2.99,0.254529852
14.19667,78.731389,4.93,0.027155857,3.12,5.45,0.231840636
14.49714,78.115782,10.29,0.041817131,7.2,4.75,0.253426479
14.94489,78.311803,3.95,0.00693341,1.28,2.2,0.263225045
14.04102,79.30847,10,0.022316915,9.67,7.47,0.291378033
14.32187,79.28923,7.19,0.019861332,7.77,10.89,0.267913976
14.24839,79.23571,13.34,0.088473205,6.04,14.87,0.24621898
14.06523,79.16967,16.98,0.061172902,15.54,15.41,0.267727205
14.12081,79.21148,6.24,0.042394915,5.04,5.31,0.247512897
14.25071,79.11377,2.83,0.019139102,2.76,3.17,0.24621898
14.18908,79.00881,15.96,0.082984255,11.48,9.42,0.221814873
14.19364,78.76031,7.99,0.035244836,4.6,4.91,0.221814873
14.29693,78.7523,2.75,0.016033511,1.9,2.37,0.229778347
13.78333,79.416667,12.3,0.032536473,4.71,6.84,0.491520011
13.98899,78.95367,6.45,0.049039434,6.03,3.6,0.285917766
14.655,78.211944,1.93,0.044597718,3.59,5.356666667,0.25139788
13.91567,78.99868,8.03,0.040156002,7.38,8.87,0.278159658
14.10753,78.94972,2.33,0.014733497,1.21,3.3,0.254744652
14.54614,78.441925,5.62,0.02340026,4.09,4.62,0.254985863
14.45713,78.442387,4.71,0.031778131,3.93,6.99,0.234924636
14.33435,78.53285,4.24,0.032355915,2.45,6.14,0.27163321
14.3733,78.388035,3.47,0.019427994,2.76,4.17,0.232729479
14.32989,78.29794,8.96,0.024050267,4.31,5.59,0.276280906
14.37001,78.358853,6.12,0.028672541,4.62,7.01,0.232325214
17.4633,82.0271,7.71,0.059583995,6.67,8.43,0.004726392
17.5032,82.0124,1.7,0.035786509,2.08,6.14,0.005124997
17.4379,82.074,0.69,0.011989022,0.72,2.81,0.004726392
16.6613,82.0125,0.63,0.012277914,0.77,1.99,0.227418789
16.6602,82.0246,3.34,0.009425105,3.75,6.74,0.227418789
16.6187,82.0195,0.9,0.006572295,0.91,2.11,0.226557975
16.562,81.9956,0.9,0.00859454,0.71,1.87,0.226557975
16.5734,82.0051,10.21,0.012494583,0.71,1.87,0.226557975
16.5882,81.9738,2.45,0.027372526,2.44,3.46,0.226557975
16.5933,81.9523,0.75,0.02412249,0.86,3.3,0.226557975
16.6544,81.9381,2.19,0.015672396,2.08,3.45,0.227418789
16.8319,81.7872,4.43,0.063411816,6.2,6.04,0.181844153
16.9392,81.7866,3.75,0.058572873,6.41,8.63,0.035081275
16.7796,81.8027,4.69,0.037267081,4.01,5.74,0.198824614
17.3235,81.6974,0.62,0.013650152,3.485,6.34,0.003940232
17.3875,81.915278,3,0.036039289,2.96,6.94,0.004094392
17.4805,81.9523,1.25,0.013794598,1.32,3.04,0.00469486
17.2083,81.8467,4.05,0.029539217,1.91,6.69,0.002933614
17.2653,81.8475,2.23,0.019716886,0.63,2.93,0.003890912
