State,District,Actual (mm),Normal (mm),Deviation (mm),DISTRICT,LATITUDE,LONGITUDE,Ground Water level (mbgl),Refresh Rate
kerala,kozhikode,8217.17,3675.8,123.55,kozhikode,11.445,75.83,7.04,370.0651
kerala,kottayam,10644.68,3208.7,231.74,kottayam,9.7402,76.7637,4.47,444.6336
kerala,wayanad,7097.85,3416.7,107.74,wayanad,11.6904,76.1281,7.82,462.6325
sikkim,east,3609.37,4876.6,63.46857143,east,28.6106,77.3217,26.14,171.7496714
delhi,east,937.74,575.6875,11.73923077,east,28.6106,77.3217,26.14,49.24883077
meghalaya,west khasi hills,2956.03,10234.9,39.25428571,west khasi hills,25.5622,91.6392,0.95,68.81458571
meghalaya,east garo hills,3224.58,2803.1,15.04,east garo hills,25.6192,90.7675,2.5,144.0232
meghalaya,west garo hills,3510.91,2515.12,33.302,west garo hills,25.2278,90.2125,5.61,138.6293
meghalaya,east khasi hills,3818.86,2227.14,51.564,east khasi hills,25.5706,91.8903,1.1,204.3184
pondicherry,puducherry,2812.94,1363.2,106.35,puducherry,11.8,79.7833,1.6,134.4794
pondicherry,karaikal,2779.93,1330.9,77.2,karaikal,10.9322,79.8314,4.17,104.9993
chhattisgarh,koriya,1230.2,1315.1,37.105,koriya,23.2606,82.56,3.2,49.407
chhattisgarh,korba,1685.02,1432.3,17.64,korba,22.3131,82.9917,3.7,85.0408
chhattisgarh,rajnandgaon,1401.52,1213.3,15.51,rajnandgaon,20.8333,80.7417,2.15,57.5556
chhattisgarh,raipur,1692.39,1251.7,35.21,raipur,21.05,81.7458,4,102.9056
chhattisgarh,bijapur,2106.02,630,234.29,bijapur,16.4792,76.1033,3.48,255.3502
karnataka,bijapur,724.75,704.35,140.745,bijapur,16.4792,76.1033,3.48,176.9825
chhattisgarh,durg,1518.96,1158.7,31.09,durg,21.3114,81.3431,5.05,46.2796
chhattisgarh,bastar,1908.72,1519.5,25.62,bastar,19.3306,81.8319,2.85,44.7072
chhattisgarh,dhamtari,1660.19,1205,37.78,dhamtari,20.6583,81.5917,3.47,87.5857
chhattisgarh,jashpur,1603.51,1721.5,42.795,jashpur,22.9764,83.6542,2.96,106.9354
chhattisgarh,mahasamund,1861.63,1259.5,47.81,mahasamund,21.0333,82.4083,6.57,103.6589
chhattisgarh,raigarh,2449.9,1494.1,63.97,raigarh,22.3706,83.2342,5.83,161.966
maharashtra,raigarh,2640.01,3320.2,15.73,raigarh,22.3706,83.2342,5.83,42.1301
chhattisgarh,surguja,1406.77,1313.8,7.08,surguja,23.2417,83.3139,4,21.1477
bihar,begusarai,1678.37,1069.2,56.97,begusarai,25.5444,85.8611,5.2,73.7537
bihar,khagaria,1362.01,1233.2,10.45,khagaria,25.6108,86.7292,4.5,64.9304
bihar,gaya,1912.24,1086.6,75.98,gaya,24.5169,84.6667,3.62,95.1024
bihar,sheohar,1774.33,1121.65,61.85,sheohar,26.4483,85.4206,1.9,115.0799
bihar,darbhanga,1708.66,1156.7,47.72,darbhanga,26.0111,86.0875,4.15,98.9798
bihar,purnia,1788.09,1485.1,20.4,purnia,25.9672,87.7172,4.78,38.2809
bihar,pashchim champaran,1922.65,1515.1,26.9,pashchim champaran,27.0875,84.0875,3.6,123.0325
bihar,banka,1727.33,1480.466667,22.36666667,banka,25.0508,86.8889,2.17,91.45986667
bihar,lakhisarai,1552.53,1445.833333,17.83333333,lakhisarai,25.2125,86.0333,6.2,95.45983333
bihar,madhepura,1598.94,1411.2,13.3,madhepura,25.5311,87.0497,6.3,29.2894
bihar,sitamarhi,1630.5,1298.1,25.61,sitamarhi,26.7292,85.3708,4.9,107.135
bihar,vaishali,1642.31,1299.8,19.045,vaishali,25.6831,85.3378,4.57,84.7374
bihar,saharsa,1463.93,1301.5,12.48,saharsa,25.8583,86.5361,2.3,71.0372
bihar,purba champaran,1972.43,1202.7,64,purba champaran,26.3903,84.7433,3.56,162.6215
bihar,muzaffarpur,1372.26,1198.6,14.49,muzaffarpur,26.2753,85.1122,4.9,41.9352
bihar,samastipur,1736.75,1119.8,55.09,samastipur,25.7125,85.9131,5.16,124.56
bihar,supaul,1511.71,1301.5,16.15,supaul,26.4825,87.0339,2.4,31.2671
bihar,bhagalpur,1905.17,1208.7,57.62,bhagalpur,25.2083,87.175,3,76.6717
bihar,nalanda,2149.88,1036.4,107.44,nalanda,25.2169,85.6253,3.3,128.9388
bihar,buxar,1194.46,954.5,25.14,buxar,25.6092,84.3425,3.15,49.0292
bihar,jehanabad,1820.11,1069.75,29.245,jehanabad,25.2942,84.7028,3.55,47.4461
bihar,madhubani,1580.17,1185,33.35,madhubani,26.3272,86.3053,3.83,112.3585
bihar,munger,1406.77,1146,22.75,munger,25.2667,86.5,5.1,50.8854
bihar,gopalganj,1878.47,1090.2,72.31,gopalganj,26.3792,84.5875,2.65,147.4488
bihar,siwan,1591.94,1130.3,40.84,siwan,26.2183,84.6711,3.9,72.6788
bihar,kishanganj,1921.21,2141.5,41.75428571,kishanganj,26.2625,87.8375,3.37,60.96638571
bihar,jamui,1683.78,1137.1,43.58285714,jamui,24.5756,86.4006,10.67,60.42065714
bihar,nawada,2644.59,1082.7,45.41142857,nawada,24.8125,85.5667,5.2,177.6409286
bihar,bhojpur,1514.09,1028.3,47.24,bhojpur,25.6025,84.5339,4.06,107.8036
bihar,rohtas,1281.41,1117.1,14.71,rohtas,25.225,84.2583,6.4,65.9664
bihar,katihar,2220.4,1386.9,60.1,katihar,25.3303,87.7456,4.98,104.508
bihar,patna,1733,1055.7,64.16,patna,25.5192,84.8542,1.79,81.49
bihar,aurangabad,1433.6,1046.8,36.95,aurangabad,24.7667,84.375,2.12,51.286
maharashtra,aurangabad,1209.94,760.9,59.01,aurangabad,24.7667,84.375,2.12,83.2088
bihar,araria,1530.46,1210.2,76.19,araria,26.1375,87.4292,4.14,122.1038
west bengal,murshidabad,2959.09,1373.6,115.43,murshidabad,23.921,88.2776,1.35,145.0209
west bengal,birbhum,3422.5,1409.9,142.75,birbhum,23.6478,87.7664,1.29,279.65
west bengal,bankura,3183.89,1367.1,132.89,bankura,23.1767,87.0678,2.98,196.5678
west bengal,uttar dinajpur,2662.23,1609.2,65.44,uttar dinajpur,26.4355,88.3675,3.03,118.6846
west bengal,hugli,3364.93,1402.6,139.91,hugli,23.0836,88.4278,3.04,308.1565
west bengal,dakshin dinajpur,2724.85,1609.2,69.33,dakshin dinajpur,25.4178,88.5387,3.05,96.5785
west bengal,jalpaiguri,3584.36,3320.1,7.96,jalpaiguri,26.7029,89.0246,3.35,43.8036
west bengal,nadia,3312.18,1214.2,172.79,nadia,23.6506,88.1468,5.08,305.2772
west bengal,south 24 parganas,3460.53,1756.5,97.01,south 24 parganas,22.3651,88.2716,1,200.8259
odisha,cuttack,3795.57,1495.8,153.75,cuttack,20.5436,85.8011,6.67,305.5728
odisha,kandhamal,1541.44,1437.8,100.84,kandhamal,20.1992,83.9083,6.98,147.0832
odisha,anugul,2041.17,1379.8,47.93,anugul,20.7431,85.0631,5.02,149.9885
odisha,ganjam,1569.17,1358.1,15.54,ganjam,19.6111,84.6686,1.4,78.3068
odisha,mayurbhanj,2590.41,1681.7,54.04,mayurbhanj,22.3939,86.0942,5.05,157.6564
odisha,kendrapara,3042.68,1616.65,35.515,kendrapara,20.54,86.42,4.48,65.9418
odisha,koraput,1815.24,1551.6,16.99,koraput,18.7583,82.4383,5.32,89.5996
odisha,puri,3169.73,1412.4,124.42,puri,19.9806,86.275,1.27,156.1173
odisha,malkangiri,2900.41,1599.2,81.37,malkangiri,18.5789,82.2814,5.11,226.3905
odisha,jagatsinghapur,3414.3,1495.8,128.26,jagatsinghapur,20.1375,86.2719,1.57,230.689
odisha,nayagarh,2093.55,1302,60.79,nayagarh,20.3,85.2983,4.1,144.532
odisha,balangir,1746.27,1380,26.54,balangir,21.0122,83.4069,4.7,113.8535
odisha,jajapur,3098.67,1558.1,98.87,jajapur,20.6539,86.1539,1.2,129.8567
odisha,dhenkanal,3049.79,1457.1,109.31,dhenkanal,20.9208,85.7667,7.19,200.8037
odisha,gajapati,1320.92,1358.1,67.73,gajapati,18.9803,84.0206,9.36,120.5668
odisha,debagarh,1994.04,1580.7,26.15,debagarh,21.5436,84.7244,4.35,105.9116
odisha,rayagada,1278.2,1551.6,17.62,rayagada,19.1692,83.8414,2,43.184
odisha,sundargarh,1607.89,1473.9,9.09,sundargarh,22.2778,83.9472,3.88,73.4056
odisha,sambalpur,1790.14,1580.7,13.25,sambalpur,22.1042,84.2719,8.95,102.757
odisha,kendujhar,2595.1,1305.6,98.77,kendujhar,21.2189,86.1175,9.45,202.574
odisha,kalahandi,1601.52,1381.9,15.89,kalahandi,19.9081,83.1592,5.11,79.9508
odisha,nuapada,1661.55,1293.5,28.45,nuapada,20.3833,82.6867,6,61.681
odisha,jharsuguda,1774.83,1464.2,21.21,jharsuguda,21.8256,83.8486,5.95,56.7066
odisha,baleshwar,2692.11,1700,58.36,baleshwar,21.3939,86.7786,1,112.2022
odisha,bhadrak,2753.06,1588.3,73.33,bhadrak,21.2089,86.3944,3.63,183.4524
odisha,bargarh,1899.87,1386.2,37.06,bargarh,21.5847,83.4153,2.23,94.0561
odisha,nabarangapur,1923.3,1443.45,78.935,nabarangapur,19.8453,82.4919,6.12,136.634
odisha,khordha,3313.64,1500.7,120.81,khordha,20.2264,85.9483,1.62,286.492
gujarat,gandhinagar,1047.75,763.7,37.19,gandhinagar,23.175,72.5583,24.88,79.1
gujarat,narmada,1430.46,1154.7,23.88,narmada,21.6089,73.5108,5.49,52.4892
gujarat,jamnagar,1341.14,500.3,168.07,jamnagar,21.9164,69.8581,6.69,208.3042
gujarat,vadodara,2649.7,1015.5,160.93,vadodara,22.1594,73.4125,4.37,266.918
gujarat,navsari,2308,1852.8,24.57,navsari,20.8311,73.3344,6.84,70.73
gujarat,surendranagar,1150.58,531.3,116.56,surendranagar,22.4167,71.0417,5.6,174.089
gujarat,bharuch,1975.19,905.4,118.16,bharuch,21.6167,72.9236,3.82,177.4157
gujarat,valsad,3056.63,2012.6,51.87,valsad,20.5167,73.2875,2.07,143.5689
gujarat,amreli,1315.03,566.9,131.97,amreli,21.6083,71.225,5.67,145.1203
gujarat,anand,768.18,860.4,130.975,anand,22.4786,73.0303,26.13,146.3386
gujarat,bhavnagar,1398.29,608,129.98,bhavnagar,21.7667,72.15,4.26,143.9629
gujarat,kheda,782.81,869.6,237.64,kheda,22.9083,73.1208,1.15,276.7805
gujarat,patan,2581.38,579.7,345.3,patan,23.6625,72.2792,7.88,371.1138
gujarat,the dangs,2819.15,2046.9,37.73,the dangs,20.6917,73.6167,5.15,150.496
gujarat,surat,1847.94,1449.8,27.46,surat,21.0625,73.1917,5.37,82.8982
gujarat,mahesana,2077.2,716.8,189.79,mahesana,23.5083,72.1833,1.73,210.562
gujarat,dohad,13186.82,879,1400.21,dohad,22.67,73.8417,8.74,1532.0782
gujarat,porbandar,1386.45,671.9,106.35,porbandar,21.3483,69.8892,3.75,134.079
gujarat,junagadh,1322.79,835,58.42,junagadh,21.6042,70.5692,5.2,84.8758
gujarat,kachchh,1095.88,405.3,170.39,kachchh,23.2558,68.84,10.03,181.3488
gujarat,rajkot,1260.08,613.6,105.36,rajkot,21.6625,70.3417,2.91,155.7632
goa,south goa,3906.83,3045.2,28.29,south goa,15.0413,73.9911,4.8,67.3583
goa,north goa,3142.47,2614.02,24.5,north goa,15.5842,73.7382,11.77,150.1988
uttar pradesh,farrukhabad,745.58,889.3,9.34,farrukhabad,27.483,79.664,4.4,16.7958
uttar pradesh,lucknow,901.57,927,5.55,lucknow,27.004,80.908,12.52,50.6285
uttar pradesh,kheri,1144.46,1124.7,1.76,kheri,27.96,80.689,2.78,58.983
uttar pradesh,chandauli,1096.66,1075.3,7.375,chandauli,25.37,83.377,4.7,18.3416
uttar pradesh,ambedkar nagar,1159.18,1025.9,12.99,ambedkar nagar,26.45,82.513,4.32,36.1736
uttar pradesh,budaun,766,878.7,14.69,budaun,28.408,78.906,16.12,45.33
uttar pradesh,balrampur,1458.47,1253.1,16.39,balrampur,27.65,82.28,2.8,89.3135
uttar pradesh,basti,1350.9,1121.1,20.5,basti,26.633,82.692,3.39,74.536
uttar pradesh,rampur,958.18,1117.1,16.585,rampur,28.885,79.283,3.81,45.3304
uttar pradesh,mirzapur,1051.76,933.5,12.67,mirzapur,25.067,82.49,7.09,33.7052
uttar pradesh,jyotiba phule nagar,1003.19,952.1,5.37,jyotiba phule nagar,29,78.603,14.94,25.4338
uttar pradesh,lalitpur,878.87,1062.1,51.015,lalitpur,24.81,78.63,5.65,77.3811
uttar pradesh,mathura,943.3,595.6,58.38,mathura,27.419,77.822,6.44,77.246
uttar pradesh,mahoba,1015.5,753.9,39.73,mahoba,25.27,79.578,4.38,90.505
uttar pradesh,saharanpur,1104.47,912.2,21.08,saharanpur,30.112,77.621,5.47,54.2141
uttar pradesh,chitrakoot,962.77,954.85,19.195,chitrakoot,25.26,80.922,13.69,67.3335
uttar pradesh,sant kabir nagar,1205.42,997.5,17.31,sant kabir nagar,26.554,83.019,3.12,77.581
uttar pradesh,sonbhadra,1229.44,1082.8,13.54,sonbhadra,23.954,83.079,9.33,50.4232
uttar pradesh,fatehpur,851.67,966.1,9.026666667,fatehpur,25.772,80.903,3.92,43.09346667
uttar pradesh,azamgarh,1061.7,1061.7,0,azamgarh,26.201,83.23,5.84,42.468
uttar pradesh,aligarh,940.25,730.6,28.7,aligarh,27.95,78.167,5.17,47.505
uttar pradesh,baghpat,875.33,649,34.87,baghpat,28.951,77.418,23.48,61.1299
uttar pradesh,hardoi,936.76,935.2,0.17,hardoi,27.332,80.309,2.6,47.008
uttar pradesh,rae bareli,844.73,949.1,0.1575,rae bareli,26.317,81.35,1.47,33.9467
uttar pradesh,ghazipur,969.51,1052.7,0.145,ghazipur,25.456,83.731,1.92,38.9254
uttar pradesh,kaushambi,909.15,918.6,0.1325,kaushambi,25.437,81.722,22.06,18.3155
uttar pradesh,deoria,1242.81,1132.1,9.78,deoria,26.277,84.147,5.06,34.6362
uttar pradesh,bahraich,1261.28,1143.7,10.28,bahraich,27.87,81.5,1.6,35.5056
uttar pradesh,gorakhpur,1134.99,1259.3,8.475,gorakhpur,26.56,83.34,3.83,31.1748
uttar pradesh,bijnor,1166.4,1093.5,6.67,bijnor,29.59,78.17,10.98,41.662
uttar pradesh,banda,1007.14,972.6,3.55,banda,25.393,80.622,2.21,13.6214
uttar pradesh,muzaffarnagar,970.01,833.7,16.35,muzaffarnagar,29.538,77.594,7.93,55.1504
uttar pradesh,etawah,863.53,857.5,0.7,etawah,26.8,79.01,7.64,17.9706
uttar pradesh,moradabad,973.71,986.2,69.05333333,moradabad,28.399,78.629,16.87,117.7388333
uttar pradesh,agra,1583.18,779,103.23,agra,27.177,77.746,5.47,166.5572
uttar pradesh,jaunpur,1030.5,1005.5,2.49,jaunpur,25.879,82.464,8.23,23.1
uttar pradesh,kanpur nagar,819.49,846.5,4.43,kanpur nagar,26.236,80.35,1.64,20.8198
uttar pradesh,jhansi,997.82,938.1,6.37,jhansi,25.454,78.567,3.83,36.3046
uttar pradesh,meerut,966.52,904.7,6.83,meerut,29.125,78,10.3,16.4952
uttar pradesh,pilibhit,1186.42,1129.5,5.04,pilibhit,28.725,79.717,4.3,16.9042
uttar pradesh,kanpur dehat,830.14,823.3,0.83,kanpur dehat,26.6,79.98,2.05,25.7342
uttar pradesh,firozabad,1352.85,780.3,73.38,firozabad,27.239,78.654,8.34,141.0225
uttar pradesh,ayodhya,1181.57,970.9,21.7,ayodhya,26.48,82.14,3.89,33.5157
uttar pradesh,kushinagar,1487.92,1323.7,12.41,kushinagar,26.906,83.6,2.2,86.806
uttar pradesh,jalaun,818.54,879.6,9.26,jalaun,26.133,79.75,24.18,42.0016
uttar pradesh,ghaziabad,796.14,750.3,6.11,ghaziabad,28.847,77.575,6.68,37.9556
uttar pradesh,etah,1031.85,757.7,36.18,etah,27.558,78.933,3.25,46.4985
uttar pradesh,ballia,1363.01,999.5,36.37,ballia,25.825,84.214,4.25,50.0001
uttar pradesh,unnao,840.59,918,25.41,unnao,26.864,80.601,1.22,59.0336
uttar pradesh,sitapur,1015.76,981.5,3.49,sitapur,27.739,81.149,2.12,44.1204
uttar pradesh,bareilly,946.93,1050.5,14.90333333,bareilly,28.779,79.5,1.07,24.37263333
